fecha_desaparicion;fecha_denuncia;fecha_conocimiento;zona;distrito;circuito;subcircuito;codigo_provincia;provincia;codigo_canton;canton;dias_solucion;latitud_desaparicion;longitud_desaparicion;sexo;nacionalidad;edad;rango_edad;etnia;fecha_localizacion;latitud_localizacion;longitud_localizacion;provincia_localizacion;situacion_actual;motivo_desaparicion;motivacion_desaparicion_observada;estado_desaparecido
31/12/2025;31/12/2025;31/12/2025;ZONA 9;EUGENIO ESPEJO;IÑAQUITO;IÑAQUITO 2;17;PICHINCHA;1701;QUITO;0;-0,173695;-78,487248;HOMBRE;ECUADOR;56;ADULTO;MESTIZO/A;31/12/2025;-0,18299;-78,485232;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
31/12/2025;2/1/2026;2/1/2026;ZONA 9;ELOY ALFARO - DMQ;ARGELIA;ARGELIA 4;17;PICHINCHA;1701;QUITO;172800;-0,291806;-78,526762;MUJER;ECUADOR;16;ADOLESCENTES;MESTIZO/A;2/1/2026;-0,305761;-78,554283;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
31/12/2025;31/12/2025;31/12/2025;ZONA 9;EUGENIO ESPEJO;UNIVERSITARIO;UNIVERSITARIO 1;17;PICHINCHA;1701;QUITO;259200;-0,197653;-78,497839;HOMBRE;ECUADOR;17;ADOLESCENTES;MESTIZO/A;3/1/2026;-0,108971;-78,457232;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
30/12/2025;7/1/2026;7/1/2026;ZONA 9;ELOY ALFARO - DMQ;MENA;MENA 5;17;PICHINCHA;1701;QUITO;777600;-0,270212;-78,557467;MUJER;ECUADOR;16;ADOLESCENTES;MESTIZO/A;8/1/2026;-0,126159;-78,477091;PICHINCHA;ENCONTRADO;CAUSAS FAMILIARES;NO RELACIONADOS A VIOLENCIA;DESAPARICIÓN VOLUNTARIA
30/12/2025;30/12/2025;30/12/2025;ZONA 9;EUGENIO ESPEJO;EL BOSQUE;EL BOSQUE 4;17;PICHINCHA;1701;QUITO;172800;-0,177566;-78,500961;HOMBRE;ECUADOR;29;ADULTO;MESTIZO/A;1/1/2026;-0,142208;-78,500101;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
30/12/2025;31/12/2025;31/12/2025;ZONA 9;ELOY ALFARO - DMQ;BARRIO NUEVO;BARRIO NUEVO 3;17;PICHINCHA;1701;QUITO;259200;-0,27995;-78,541583;MUJER;ECUADOR;15;ADOLESCENTES;MESTIZO/A;2/1/2026;-0,302907;-78,545627;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
30/12/2025;8/1/2026;8/1/2026;ZONA 9;QUITUMBE;GUAMANÍ;GUAMANÍ 4;17;PICHINCHA;1701;QUITO;1382400;-0,340792;-78,557679;HOMBRE;ECUADOR;22;ADULTO;MESTIZO/A;15/1/2026;-0,142177;-78,499755;PICHINCHA;ENCONTRADO;CAUSAS SOCIALES;DROGADICCIÓN;DESAPARICIÓN VOLUNTARIA
30/12/2025;16/1/2026;19/1/2026;ZONA 9;QUITUMBE;ECUATORIANA;ECUATORIANA 1;17;PICHINCHA;1701;QUITO;1987200;-0,2953;-78,567097;MUJER;ECUADOR;14;ADOLESCENTES;AFRO;22/1/2026;-0,244225;-78,540532;PICHINCHA;ENCONTRADO;VIOLENCIA;VIOLENCIA FÍSICA;DESAPARICIÓN VOLUNTARIA
30/12/2025;16/1/2026;19/1/2026;ZONA 9;QUITUMBE;ECUATORIANA;ECUATORIANA 1;17;PICHINCHA;1701;QUITO;2419200;-0,2953;-78,567097;HOMBRE;ECUADOR;13;ADOLESCENTES;AFRO;27/1/2026;-0,30532;-78,565491;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
29/12/2025;29/12/2025;29/12/2025;ZONA 9;EUGENIO ESPEJO;LAS CASAS;LAS CASAS 1;17;PICHINCHA;1701;QUITO;0;-0,190858;-78,501395;MUJER;ECUADOR;15;ADOLESCENTES;MESTIZO/A;29/12/2025;-0,216349;-78,396278;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
29/12/2025;30/12/2025;30/12/2025;ZONA 9;MANUELA SÁENZ;EL PLACER;EL PLACER 1;17;PICHINCHA;1701;QUITO;345600;-0,216506;-78,519335;HOMBRE;ECUADOR;35;ADULTO;MESTIZO/A;2/1/2026;-0,142626;-78,500134;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
29/12/2025;31/12/2025;31/12/2025;ZONA 9;ELOY ALFARO - DMQ;ARGELIA;ARGELIA 8;17;PICHINCHA;1701;QUITO;345600;-0,280435;-78,528521;MUJER;ECUADOR;13;ADOLESCENTES;MESTIZO/A;2/1/2026;-0,142219;-78,50025;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
28/12/2025;30/12/2025;30/12/2025;ZONA 9;QUITUMBE;CHILLOGALLO;CHILLOGALLO 3;17;PICHINCHA;1701;QUITO;172800;-0,284808;-78,566669;HOMBRE;ECUADOR;17;ADOLESCENTES;MESTIZO/A;30/12/2025;-0,30428;-78,552321;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
27/12/2025;28/12/2025;28/12/2025;ZONA 9;ELOY ALFARO - DMQ;CHILIBULO;CHILIBULO 4;17;PICHINCHA;1701;QUITO;172800;-0,238009;-78,544091;HOMBRE;ECUADOR;37;ADULTO;MESTIZO/A;29/12/2025;-0,231601;-78,530924;PICHINCHA;ENCONTRADO;POSIBLE VINCULACIÓN A DELITO;ROBO (ESCOPOLAMINA U OTRA DROGA ALUCINÓGENA ALTAMENTE TÓXICA);DESAPARICIÓN INVOLUNTARIA
27/12/2025;30/12/2025;30/12/2025;ZONA 9;TUMBACO;PIFO;PIFO 2;17;PICHINCHA;1701;QUITO;345600;-0,227165;-78,336626;HOMBRE;ECUADOR;41;ADULTO;MESTIZO/A;31/12/2025;0,136814;-79,408107;ESMERALDAS;FALLECIDO;FALLECIDO;SIN_DATO;DESAPARICIÓN INVOLUNTARIA
27/12/2025;30/12/2025;2/1/2026;ZONA 9;QUITUMBE;QUITUMBE;QUITUMBE 4;17;PICHINCHA;1701;QUITO;691200;-0,299851;-78,52361;MUJER;ECUADOR;17;ADOLESCENTES;MESTIZO/A;4/1/2026;-0,142136;-78,500002;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
27/12/2025;8/1/2026;9/1/2026;ZONA 9;ELOY ALFARO - DMQ;FERROVIARIA;FERROVIARIA 1;17;PICHINCHA;1701;QUITO;;-0,26078;-78,520654;HOMBRE;ECUADOR;40;ADULTO;MESTIZO/A;;;;;DESAPARECIDO;;;EN INVESTIGACIÓN
26/12/2025;27/12/2025;27/12/2025;ZONA 9;ELOY ALFARO - DMQ;MENA;MENA 3;17;PICHINCHA;1701;QUITO;86400;-0,255746;-78,558364;MUJER;ECUADOR;13;ADOLESCENTES;MESTIZO/A;27/12/2025;-0,251053;-78,538431;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
26/12/2025;15/1/2026;17/1/2026;ZONA 9;MANUELA SÁENZ;MONJAS COLLACOTO;MONJAS COLLACOTO 1;17;PICHINCHA;1701;QUITO;2678400;-0,23538;-78,481756;MUJER;ECUADOR;14;ADOLESCENTES;MESTIZO/A;26/1/2026;-0,142262;-78,500155;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;RELACIÓN AFECTIVA;DESAPARICIÓN VOLUNTARIA
26/12/2025;27/12/2025;27/12/2025;ZONA 9;EUGENIO ESPEJO;IÑAQUITO;IÑAQUITO 2;17;PICHINCHA;1701;QUITO;86400;-0,180862;-78,489361;MUJER;ECUADOR;47;ADULTO;MESTIZO/A;27/12/2025;-0,180887;-78,489417;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
26/12/2025;27/12/2025;27/12/2025;ZONA 9;EUGENIO ESPEJO;COCHAPAMBA;COCHAPAMBA 4;17;PICHINCHA;1701;QUITO;86400;-0,128751;-78,514234;HOMBRE;ECUADOR;64;ADULTO;MESTIZO/A;27/12/2025;-0,143367;-78,505188;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
